payment_id,payment_amount,payment_date,customer_id,customer_full_name,address_id,district,city,country,store_id,manager_staff_id,staff_id,staff_full_name,rental_id,rental_date,return_date,rental_duration,film_id,film_title,release_year,rental_rate,film_length,language_name,category_name,actor_id,actor_full_name
17503,7.99,25:47.0,341,Peter Menard,346,Gelderland,Ede,Netherlands,1,1,1,Mike Hillyer,1520,6/15/2005 23:57,6/24/2005 23:46,9,749,Rules Human,2006,4.99,153,English             ,Horror,1,Penelope Guiness
17504,1.99,23:15.0,341,Peter Menard,346,Gelderland,Ede,Netherlands,1,1,2,Jon Stephens,1778,6/16/2005 18:54,6/22/2005 16:08,6,552,Majestic Floats,2006,0.99,130,English             ,Documentary,9,Joe Swank
17505,7.99,41:46.0,341,Peter Menard,346,Gelderland,Ede,Netherlands,1,1,2,Jon Stephens,1849,6/17/2005 0:13,6/23/2005 18:37,7,551,Maiden Home,2006,4.99,138,English             ,New,28,Woody Hoffman
17506,2.99,39:57.0,341,Peter Menard,346,Gelderland,Ede,Netherlands,1,1,1,Mike Hillyer,2829,6/19/2005 21:11,6/24/2005 18:10,5,445,Hyde Doctor,2006,2.99,100,English             ,Classics,15,Cuba Olivier
17507,7.99,31:49.0,341,Peter Menard,346,Gelderland,Ede,Netherlands,1,1,2,Jon Stephens,3130,6/20/2005 19:03,6/29/2005 18:05,9,563,Massacre Usual,2006,4.99,165,English             ,Games,100,Spencer Depp
17508,5.99,33:50.0,341,Peter Menard,346,Gelderland,Ede,Netherlands,1,1,2,Jon Stephens,3382,6/21/2005 14:05,6/29/2005 19:13,8,26,Annie Identity,2006,0.99,86,English             ,Sci-Fi,71,Adam Grant
17509,5.99,58:18.0,342,Harold Martino,347,Roraima,Boa Vista,Brazil,1,1,2,Jon Stephens,2190,6/18/2005 1:29,6/26/2005 4:31,8,961,Wash Heavenly,2006,4.99,161,English             ,Foreign,53,Mena Temple
17510,5.99,11:45.0,342,Harold Martino,347,Roraima,Boa Vista,Brazil,1,1,2,Jon Stephens,2914,6/20/2005 3:43,6/25/2005 3:44,5,527,Lola Agent,2006,4.99,85,English             ,Horror,20,Lucille Tracy
17511,2.99,57:40.0,342,Harold Martino,347,Roraima,Boa Vista,Brazil,1,1,2,Jon Stephens,3081,6/20/2005 15:29,6/24/2005 21:00,4,449,Identity Lover,2006,2.99,119,English             ,Sci-Fi,23,Sandra Kilmer
17512,4.99,10:51.0,343,Douglas Graf,348,Baja California,Mexicali,Mexico,1,1,1,Mike Hillyer,1547,6/16/2005 1:42,6/19/2005 1:13,3,639,Opposite Necklace,2006,4.99,92,English             ,Family,61,Christian Neeson
17513,6.99,15:34.0,343,Douglas Graf,348,Baja California,Mexicali,Mexico,1,1,1,Mike Hillyer,1564,6/16/2005 2:47,6/24/2005 3:12,8,30,Anything Savannah,2006,2.99,82,English             ,Horror,9,Joe Swank
17514,0.99,26:01.0,343,Douglas Graf,348,Baja California,Mexicali,Mexico,1,1,1,Mike Hillyer,1879,6/17/2005 2:57,6/19/2005 0:00,2,868,Superfly Trip,2006,0.99,114,English             ,Travel,40,Johnny Cage
